
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.42
16                     29.39
32                     29.44
64                     29.61
128                    34.59
256                    37.21
512                    38.02
1024                   46.40
2048                   52.42
4096                   78.27
8192                  135.45
16384                 226.17
32768                 441.51
65536                1031.66
131072               2100.94
262144               3950.64
524288               7733.88
1048576             15826.00
2097152             33823.62
4194304             70260.60
8388608            145122.94
16777216           292451.54
33554432           591535.08
67108864          1193226.97
