
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.24
16                     29.46
32                     29.44
64                     29.54
128                    36.88
256                    37.06
512                    37.92
1024                   45.22
2048                   53.25
4096                   79.81
8192                  135.55
16384                 227.53
32768                 421.84
65536                1067.70
131072               2043.99
262144               3956.61
524288               7768.49
1048576             15925.29
2097152             33929.25
4194304             70313.50
8388608            145205.54
16777216           292230.11
33554432           590229.01
67108864          1191219.56
