
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.32
16                     29.41
32                     29.39
64                     29.53
128                    34.50
256                    37.02
512                    37.89
1024                   48.69
2048                   51.08
4096                   81.40
8192                  133.19
16384                 226.96
32768                 426.91
65536                1047.80
131072               2070.49
262144               3986.49
524288               7766.42
1048576             15967.85
2097152             33962.48
4194304             70422.33
8388608            145569.14
16777216           291811.52
33554432           590118.99
67108864          1190661.50
