
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.17
16                     29.29
32                     29.14
64                     29.45
128                    34.29
256                    36.96
512                    37.78
1024                   45.79
2048                   53.30
4096                   79.95
8192                  131.54
16384                 232.45
32768                 424.24
65536                1061.57
131072               2011.61
262144               3924.42
524288               7726.73
1048576             15881.49
2097152             33793.93
4194304             70416.28
8388608            146397.18
16777216           291747.71
33554432           588122.35
67108864          1193551.58
