
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      30.22
16                     29.26
32                     29.36
64                     29.65
128                    36.17
256                    38.28
512                    39.13
1024                   42.16
2048                   55.35
4096                   72.41
8192                  145.62
16384                 235.56
32768                 438.25
65536                 857.14
131072               7351.51
262144               3841.90
524288               7582.12
1048576             15460.43
2097152             32565.24
4194304             67686.35
8388608            139734.48
16777216           281507.59
33554432           616616.81
67108864          1236461.95
