
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.41
16                     29.46
32                     29.28
64                     30.04
128                    35.95
256                    38.28
512                    39.12
1024                   42.06
2048                   53.22
4096                   73.17
8192                  142.64
16384                 231.28
32768                 454.82
65536                 853.57
131072               7328.34
262144               3826.48
524288               7575.49
1048576             15464.61
2097152             32499.14
4194304             67567.46
8388608            140971.01
16777216           282038.31
33554432           614719.34
