
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.42
16                     29.48
32                     29.48
64                     29.51
128                    34.59
256                    37.05
512                    37.99
1024                   48.90
2048                   51.49
4096                   79.71
8192                  132.99
16384                 230.70
32768                 429.11
65536                1038.24
131072               2044.58
262144               3960.63
524288               7731.40
1048576             15875.80
2097152             33680.77
4194304             70442.38
8388608            145060.28
16777216           291440.49
33554432           588956.15
67108864          1191996.92
