
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.64
16                     30.44
32                     29.61
64                     29.80
128                    36.15
256                    38.62
512                    39.44
1024                   42.29
2048                   53.25
4096                   73.28
8192                  143.01
16384                 231.07
32768                 442.21
65536                 865.36
131072               7392.56
262144               3905.52
524288               7660.64
1048576             15464.22
2097152             32756.53
4194304             68103.49
8388608            141688.54
16777216           281924.28
33554432           627702.28
67108864          1254001.57
