
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.96
16                     28.97
32                     28.94
64                     29.14
128                    34.00
256                    36.62
512                    37.46
1024                   46.14
2048                   50.81
4096                   80.38
8192                  131.66
16384                 231.69
32768                 427.57
65536                1097.85
131072               2019.12
262144               3968.50
524288               7723.65
1048576             15847.25
2097152             33788.64
4194304             70343.11
8388608            145417.84
16777216           290516.41
33554432           590621.78
67108864          1195803.98
