
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.39
16                     29.33
32                     29.37
64                     29.55
128                    37.68
256                    38.47
512                    39.28
1024                   42.23
2048                   53.17
4096                   73.47
8192                  144.67
16384                 230.93
32768                 441.03
65536                 856.35
131072               7345.41
262144               3851.48
524288               7576.68
1048576             15408.31
2097152             32607.54
4194304             67819.59
8388608            139621.13
16777216           281003.71
33554432           614381.54
67108864          1234311.15
