
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      30.54
16                     29.47
32                     29.58
64                     29.66
128                    37.50
256                    38.40
512                    39.30
1024                   42.20
2048                   52.90
4096                   72.73
8192                  142.96
16384                 232.37
32768                 440.61
65536                 857.30
131072               7373.76
262144               3877.22
524288               7596.99
1048576             15441.63
2097152             32711.83
4194304             67677.21
8388608            140593.40
16777216           281648.54
33554432           622524.27
67108864          1237258.12
