
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.57
16                     29.53
32                     29.58
64                     29.73
128                    36.14
256                    38.57
512                    39.40
1024                   42.29
2048                   53.02
4096                   73.86
8192                  146.29
16384                 235.44
32768                 442.56
65536                 857.20
131072               7354.07
262144               3858.11
524288               7595.52
1048576             15535.03
2097152             32656.22
4194304             68181.85
8388608            140370.29
16777216           282228.68
33554432           624743.13
67108864          1248072.55
