
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.50
16                     29.53
32                     29.51
64                     29.74
128                    36.10
256                    38.59
512                    39.43
1024                   42.31
2048                   52.55
4096                   72.75
8192                  143.11
16384                 233.14
32768                 442.40
65536                 856.75
131072               7379.33
262144               3868.96
524288               7598.14
1048576             15451.17
2097152             32526.14
4194304             67511.21
8388608            140228.47
16777216           281947.61
33554432           628194.28
67108864          1244349.08
