
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.39
16                     29.41
32                     29.46
64                     29.59
128                    35.08
256                    37.11
512                    37.96
1024                   49.67
2048                   50.87
4096                   78.07
8192                  134.02
16384                 226.66
32768                 418.78
65536                1097.64
131072               2063.27
262144               3926.44
524288               7713.79
1048576             15923.91
2097152             33887.79
4194304             70384.42
8388608            145483.72
16777216           291665.36
33554432           590588.50
67108864          1195178.05
