
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.23
16                     30.81
32                     29.41
64                     29.57
128                    34.53
256                    37.24
512                    38.20
1024                   45.30
2048                   52.87
4096                   79.66
8192                  132.06
16384                 230.45
32768                 431.55
65536                1044.59
131072               2098.09
262144               3960.94
524288               7784.41
1048576             15919.94
2097152             33785.28
4194304             70272.42
8388608            145175.49
16777216           290962.40
33554432           590214.14
67108864          1194875.31
