
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.40
16                     29.46
32                     32.73
64                     29.73
128                    36.10
256                    38.41
512                    39.25
1024                   42.04
2048                   52.69
4096                   72.72
8192                  144.48
16384                 230.89
32768                 442.13
65536                 852.57
131072               7342.28
262144               3916.81
524288               7604.53
1048576             15530.67
2097152             32508.97
4194304             68358.29
8388608            141175.98
16777216           281462.62
33554432           615059.48
67108864          1235511.50
