
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.50
16                     29.43
32                     29.39
64                     29.63
128                    36.09
256                    39.09
512                    39.24
1024                   42.26
2048                   53.02
4096                   72.56
8192                  144.03
16384                 231.92
32768                 442.51
65536                 876.84
131072               7382.96
262144               3872.49
524288               7598.86
1048576             15447.01
2097152             32736.89
4194304             68298.59
8388608            141041.96
16777216           281595.90
33554432           623747.39
67108864          1240589.68
