
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.36
16                     29.38
32                     29.31
64                     29.62
128                    34.56
256                    37.22
512                    37.93
1024                   46.66
2048                   51.40
4096                   78.90
8192                  132.18
16384                 229.00
32768                 425.23
65536                1106.81
131072               2187.85
262144               3942.26
524288               7804.66
1048576             15878.67
2097152             34016.74
4194304             70159.80
8388608            144923.06
16777216           291579.11
33554432           590055.47
67108864          1191605.97
