
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.39
16                     33.91
32                     29.40
64                     29.63
128                    36.13
256                    38.37
512                    39.31
1024                   42.27
2048                   53.57
4096                   73.13
8192                  143.51
16384                 236.32
32768                 453.45
65536                 875.19
131072               7397.28
262144               3873.72
524288               7681.63
1048576             15471.66
2097152             32647.41
4194304             67895.10
8388608            140139.57
16777216           281129.93
33554432           624130.76
67108864          1240184.76
