
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      26.63
16                     28.18
32                     25.31
64                     26.20
128                    25.71
256                    25.61
512                    30.95
1024                   29.18
2048                   32.50
4096                   61.67
8192                   56.74
16384                  57.93
32768                  77.96
65536                 115.45
131072                172.35
262144                283.77
524288                529.58
1048576              1300.12
2097152              3386.46
4194304              7478.70
8388608             15621.54
16777216            32183.28
33554432            65745.26
67108864           133737.88
