
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.85
16                      7.38
32                      5.11
64                      6.01
128                     5.87
256                     6.69
512                     9.14
1024                    9.68
2048                   15.73
4096                   18.28
8192                   27.76
16384                  76.94
32768                 128.33
65536                 314.40
131072                500.93
262144               1050.71
524288               2092.80
1048576              4260.05
2097152              8601.68
4194304             17098.48
8388608             34868.08
16777216            68396.76
33554432           135253.21
67108864           264349.31
