
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.84
16                      4.93
32                      5.07
64                      7.28
128                     6.23
256                     6.75
512                     8.98
1024                    9.75
2048                   14.24
4096                   20.52
8192                   28.63
16384                  59.22
32768                 119.21
65536                 249.05
131072                527.96
262144               1021.49
524288               2101.94
1048576              4521.41
2097152              8630.57
4194304             17357.21
8388608             34344.95
16777216            68057.74
33554432           134366.27
67108864           265611.36
