
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.78
16                     25.70
32                     25.46
64                     25.91
128                    27.03
256                    25.85
512                    27.91
1024                   29.40
2048                   33.51
4096                   52.78
8192                   53.42
16384                  58.07
32768                  79.34
65536                 133.35
131072                165.21
262144                284.31
524288                547.54
1048576              1326.08
2097152              3353.35
4194304              7459.23
8388608             15870.84
16777216            32494.22
33554432            66515.16
67108864           134588.41
