
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.45
16                      5.18
32                      5.02
64                      5.28
128                     5.84
256                     8.55
512                     8.00
1024                   10.37
2048                   12.89
4096                   18.44
8192                   30.30
16384                  91.15
32768                 120.02
65536                 236.22
131072                497.64
262144               1119.60
524288               2020.56
1048576              4311.59
2097152              8808.88
4194304             17445.25
8388608             34691.11
16777216            68464.93
33554432           133803.95
67108864           262206.89
