
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.90
16                      4.90
32                      5.10
64                      6.53
128                     6.06
256                     7.33
512                     8.13
1024                   12.04
2048                   13.10
4096                   18.32
8192                   27.60
16384                  59.76
32768                 130.05
65536                 284.09
131072                471.71
262144               1018.60
524288               2118.81
1048576              4218.26
2097152              8744.81
4194304             17457.67
8388608             34716.18
16777216            68417.13
33554432           132975.47
67108864           262782.58
