
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.16
16                      5.10
32                      5.07
64                      5.33
128                     6.64
256                     8.03
512                    10.73
1024                    9.87
2048                   13.81
4096                   18.00
8192                   28.60
16384                  58.04
32768                 147.36
65536                 229.36
131072                487.62
262144               1064.80
524288               2209.93
1048576              4215.60
2097152              8691.09
4194304             17328.50
8388608             34451.90
16777216            67983.07
33554432           133245.71
67108864           264536.28
