
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      25.44
16                     28.48
32                     26.00
64                     25.16
128                    28.39
256                    26.88
512                    30.57
1024                   29.22
2048                   32.16
4096                   54.10
8192                   56.09
16384                  64.24
32768                  79.33
65536                 108.82
131072                167.94
262144                274.54
524288                514.13
1048576              1296.68
2097152              3371.06
4194304              7602.22
8388608             15769.12
16777216            32277.48
33554432            66133.03
67108864           134384.08
