
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      25.99
16                     25.37
32                     26.86
64                     28.00
128                    25.50
256                    27.48
512                    31.00
1024                   30.91
2048                   35.97
4096                   53.39
8192                   55.18
16384                  57.83
32768                  77.82
65536                 135.11
131072                164.50
262144                281.27
524288                585.06
1048576              1292.97
2097152              3421.19
4194304              7515.74
8388608             15726.96
16777216            32158.51
33554432            65602.97
67108864           133852.64
