
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.11
16                      5.06
32                      5.53
64                      6.73
128                     6.37
256                     6.74
512                     9.77
1024                    9.76
2048                   13.21
4096                   17.66
8192                   27.74
16384                  88.23
32768                 115.32
65536                 241.51
131072                477.10
262144               1092.40
524288               2170.09
1048576              4328.08
2097152              8943.14
4194304             17609.94
8388608             35028.83
16777216            69992.36
33554432           136107.54
67108864           265427.93
