
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      27.05
16                     24.38
32                     24.60
64                     24.20
128                    24.00
256                    24.15
512                    33.30
1024                   26.59
2048                   29.42
4096                   49.65
8192                   50.71
16384                  52.82
32768                  69.05
65536                  93.08
131072                164.73
262144                212.56
524288                471.68
1048576              1393.23
2097152              3218.49
4194304              7627.12
8388608             15854.89
16777216            32457.81
33554432            66367.99
67108864           134788.11
