
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.72
16                      5.28
32                      5.19
64                     11.77
128                     7.61
256                    14.85
512                     8.95
1024                   10.24
2048                   13.11
4096                   19.16
8192                   35.50
16384                  59.26
32768                 115.55
65536                 225.64
131072                532.13
262144                950.07
524288               1972.62
1048576              4105.29
2097152              8461.85
4194304             16851.26
8388608             34454.71
16777216            68336.33
33554432           133157.30
67108864           265456.78
