
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      24.90
16                     24.75
32                     24.18
64                     23.93
128                    24.89
256                    24.35
512                    25.51
1024                   26.80
2048                   29.52
4096                   52.30
8192                   50.14
16384                  52.47
32768                  67.18
65536                  88.94
131072                125.77
262144                239.82
524288                493.13
1048576              1278.41
2097152              3305.74
4194304              7488.11
8388608             16160.95
16777216            32365.09
33554432            66539.07
67108864           134534.23
