
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.16
16                      5.22
32                      5.26
64                     11.82
128                     6.51
256                     6.89
512                     8.15
1024                   10.26
2048                   13.48
4096                   26.61
8192                   28.11
16384                  59.91
32768                 115.75
65536                 245.38
131072                541.46
262144               1059.66
524288               2120.49
1048576              4177.77
2097152              8645.64
4194304             17993.80
8388608             34572.84
16777216            70597.66
33554432           136346.62
67108864           271039.07
