
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.16
16                      5.92
32                      5.41
64                      5.42
128                     6.38
256                     7.16
512                     8.18
1024                   10.11
2048                   14.28
4096                   18.74
8192                   27.86
16384                  58.40
32768                 117.45
65536                 309.10
131072                470.99
262144               1051.30
524288               2207.73
1048576              4210.70
2097152              8679.83
4194304             17428.15
8388608             35146.76
16777216            71043.72
33554432           140168.00
67108864           271377.09
