
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      24.94
16                     24.15
32                     27.98
64                     25.59
128                    24.10
256                    24.11
512                    25.68
1024                   26.60
2048                   31.49
4096                   53.63
8192                   51.14
16384                  53.22
32768                  68.08
65536                  90.75
131072                170.83
262144                211.12
524288                488.61
1048576              1352.14
2097152              3447.57
4194304              7700.82
8388608             15980.61
16777216            33517.18
33554432            65894.31
67108864           134631.31
