
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.03
16                      5.44
32                      6.45
64                      5.17
128                     5.96
256                     6.86
512                    11.60
1024                   10.04
2048                   13.53
4096                   18.72
8192                   28.39
16384                  61.98
32768                 126.40
65536                 277.95
131072                509.61
262144               1025.05
524288               2098.88
1048576              4332.11
2097152              8437.50
4194304             16970.16
8388608             34684.14
16777216            69363.76
33554432           143611.54
67108864           271351.21
