
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.05
16                      5.05
32                     14.29
64                      5.64
128                     6.25
256                     6.77
512                     8.14
1024                   10.14
2048                   13.38
4096                   27.13
8192                   27.75
16384                  61.71
32768                 121.99
65536                 328.81
131072                524.46
262144               1057.93
524288               2222.66
1048576              4384.14
2097152              9131.29
4194304             18872.27
8388608             36942.66
16777216            71246.67
33554432           140928.26
67108864           283244.39
