
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      31.15
16                     24.40
32                     23.85
64                     24.22
128                    23.90
256                    30.33
512                    25.60
1024                   26.49
2048                   29.45
4096                   49.48
8192                   60.72
16384                 137.33
32768                  68.55
65536                  92.85
131072                138.94
262144                211.57
524288                524.09
1048576              1331.00
2097152              3221.36
4194304              7616.87
8388608             15931.76
16777216            32740.08
33554432            66255.30
67108864           134249.06
