
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      25.01
16                     24.43
32                     24.79
64                     24.02
128                    25.30
256                    27.63
512                    30.23
1024                   26.77
2048                   29.25
4096                   69.31
8192                   51.86
16384                  53.04
32768                  68.57
65536                  91.49
131072                129.40
262144                249.37
524288                475.23
1048576              1236.93
2097152              3648.70
4194304              7780.26
8388608             16237.16
16777216            33277.71
33554432            66234.17
67108864           134651.10
