
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.03
16                      5.59
32                      5.65
64                      5.64
128                     7.67
256                     6.77
512                     8.13
1024                    9.69
2048                   13.35
4096                   19.15
8192                   35.42
16384                  58.42
32768                 113.40
65536                 225.91
131072                498.13
262144               1062.27
524288               2073.23
1048576              4146.92
2097152              9153.44
4194304             17289.18
8388608             35652.54
16777216            71260.51
33554432           135576.46
67108864           266033.35
