
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      12.70
16                      8.06
32                      5.06
64                      5.59
128                     5.89
256                     6.56
512                     8.18
1024                   17.20
2048                   13.34
4096                   18.08
8192                   27.52
16384                  65.80
32768                 114.59
65536                 228.11
131072                469.15
262144               1014.28
524288               2185.07
1048576              4389.05
2097152              8807.02
4194304             18199.67
8388608             35016.55
16777216            70862.55
33554432           137400.11
67108864           271938.66
