
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      26.46
16                     24.57
32                     27.06
64                     24.15
128                    23.95
256                    25.35
512                    27.78
1024                   26.61
2048                   33.44
4096                   50.11
8192                   53.73
16384                  54.12
32768                  69.08
65536                  94.98
131072                128.21
262144                254.10
524288                522.77
1048576              1364.22
2097152              3378.91
4194304              7634.31
8388608             15975.45
16777216            32965.12
33554432            66428.98
67108864           133553.66
