
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      26.70
16                     24.31
32                     27.69
64                     26.53
128                    23.98
256                    24.25
512                    28.27
1024                   31.13
2048                   37.32
4096                   49.08
8192                   55.98
16384                  53.46
32768                  68.67
65536                  92.26
131072                139.53
262144                254.09
524288                488.98
1048576              1377.48
2097152              3394.44
4194304              7779.94
8388608             16145.56
16777216            33251.71
33554432            66200.84
67108864           134763.71
