
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       5.19
16                      5.17
32                      5.99
64                      5.55
128                     6.18
256                     6.92
512                     7.90
1024                   10.09
2048                   13.62
4096                   19.03
8192                   28.77
16384                  61.68
32768                 122.03
65536                 247.36
131072                557.10
262144               1037.00
524288               2319.51
1048576              5006.63
2097152              9023.69
4194304             17939.74
8388608             35568.38
16777216            70934.94
33554432           141597.26
67108864           277230.65
