
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.14              0.86             12.88        1000
16                      2.03              0.84             11.62        1000
32                      2.10              0.88             12.48        1000
64                      2.10              0.87             12.01        1000
128                     2.11              0.86             12.63        1000
256                     2.16              0.86             12.41        1000
512                     2.31              0.87             13.05        1000
1024                    2.38              0.90             13.24        1000
2048                    2.83              1.06             15.52        1000
4096                   26.70             23.26             36.99        1000
8192                   26.71             23.06             36.73        1000
16384                  32.22             28.62             42.54         100
32768                  44.00             38.82             57.28         100
65536                  61.60             56.14             78.74         100
131072                 98.64             92.64            125.95         100
262144                198.74            185.64            248.12         100
524288                383.24            365.35            470.59         100
1048576               703.57            668.01            864.85         100
2097152              2594.82           2523.23           2954.27         100
4194304             10846.01          10588.36          11791.90         100
8388608             26922.43          26443.72          28993.34         100
16777216            53331.90          52496.48          57433.01         100
33554432           103514.87         101680.61         110872.13         100
67108864           200656.86         196632.64         213292.93         100
