
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       5.34              2.27              8.74        1000
16                      4.98              2.12              8.69        1000
32                      4.81              1.91              8.07        1000
64                      4.99              2.17              8.44        1000
128                     4.74              1.86              7.82        1000
256                     5.08              2.27              8.78        1000
512                     4.85              1.94              7.92        1000
1024                    5.63              2.22             10.26        1000
2048                    5.83              1.68              9.76        1000
4096                    7.47              2.13             13.57        1000
8192                    9.17              1.90             15.99        1000
16384                  50.54             44.21             54.95         100
32768                  84.04             73.34             90.31         100
65536                 167.78            155.66            177.90         100
131072                318.17            283.13            338.88         100
262144                630.12            560.40            665.74         100
524288                596.23            557.81            654.66         100
1048576               935.54            882.90           1007.41         100
2097152              1652.37           1562.18           1764.19         100
4194304              4422.91           4109.78           4637.99         100
8388608             11692.27          10984.57          12144.26         100
16777216            23469.39          21921.99          24825.28         100
33554432            44145.87          42613.18          44933.52         100
67108864            86039.22          82144.23          88807.13         100
