
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.14              0.42              5.40        1000
16                      1.20              0.42              5.73        1000
32                      1.20              0.41              5.78        1000
64                      1.21              0.41              5.88        1000
128                     1.32              0.43              6.45        1000
256                     1.52              0.57              7.15        1000
512                     1.98              0.84              9.58        1000
1024                    2.92              1.13             12.55        1000
2048                    5.25              2.16             17.31        1000
4096                   10.73              6.62             27.13        1000
8192                   27.91             17.86             57.12        1000
16384                  41.71             22.40             84.79         100
32768                 108.47             50.53            171.21         100
65536                 210.65            120.09            310.22         100
131072                469.89            367.63            598.59         100
262144               1075.18            966.60           1216.21         100
524288               2323.03           2201.39           2469.18         100
1048576              4630.21           4545.39           4776.59         100
2097152              9979.25           9874.31          10142.36         100
4194304             19840.00          19741.46          20023.57         100
8388608             38965.53          38868.81          39142.35         100
16777216            77172.25          77082.79          77333.17         100
33554432           154717.90         154628.25         154956.16         100
67108864           310641.86         310548.27         310887.70         100
