
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.03              0.63              1.33        1000
16                      1.09              0.55              1.47        1000
32                      1.07              0.49              1.36        1000
64                      1.08              0.49              1.40        1000
128                     1.23              0.51              1.66        1000
256                     1.19              0.63              1.66        1000
512                     1.43              0.73              1.96        1000
1024                    2.10              0.97              2.63        1000
2048                    3.70              1.21              4.48        1000
4096                    6.81              1.62              9.01        1000
8192                   11.29              2.88             14.93        1000
16384                  20.54              8.32             28.87         100
32768                  40.95             23.05             56.33         100
65536                 101.95             91.29            110.66         100
131072                211.75            200.76            220.67         100
262144                431.59            420.35            440.57         100
524288               1063.96           1011.53           1105.55         100
1048576               905.71            792.85           1064.13         100
2097152              1444.52           1275.37           1682.09         100
4194304              2911.14           2647.30           3274.14         100
8388608              9013.10           8873.68           9153.63         100
16777216            17758.12          17528.15          17955.73         100
33554432            35432.36          34933.52          35800.23         100
67108864            69913.05          68983.99          70534.45         100
