
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       5.69              2.54              9.43        1000
16                      4.85              2.17              8.17        1000
32                      4.94              2.20              8.38        1000
64                      4.69              1.66              7.65        1000
128                     5.03              2.22              8.54        1000
256                     4.75              1.64              7.83        1000
512                     5.12              2.25              9.03        1000
1024                    5.27              1.71              8.83        1000
2048                    6.31              2.28             11.32        1000
4096                    7.45              2.24             13.31        1000
8192                    9.39              2.23             16.88        1000
16384                  51.15             44.53             55.22         100
32768                  85.61             76.21             91.54         100
65536                 167.33            150.39            178.30         100
131072                315.70            276.05            336.46         100
262144                621.47            534.52            661.22         100
524288                602.63            566.43            658.12         100
1048576               951.59            895.70           1028.45         100
2097152              1641.96           1556.55           1748.64         100
4194304              4134.96           3838.51           4356.36         100
8388608             11653.00          11033.22          12033.74         100
16777216            23425.69          21903.80          24794.59         100
33554432            44042.11          42449.64          44827.15         100
67108864            86127.15          81686.83          89274.86         100
