
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.17              0.90             11.56        1000
16                      2.07              0.85             11.51        1000
32                      2.12              0.90             11.59        1000
64                      2.13              0.88             11.55        1000
128                     2.13              0.89             11.74        1000
256                     2.18              0.87             12.20        1000
512                     2.32              0.93             12.58        1000
1024                    2.44              0.92             13.12        1000
2048                    2.89              1.08             14.85        1000
4096                   26.25             22.80             36.19        1000
8192                   27.99             24.16             37.67        1000
16384                  33.25             29.44             43.34         100
32768                  43.49             39.24             55.89         100
65536                  62.59             57.69             79.09         100
131072                 99.08             93.09            126.48         100
262144                200.39            190.05            249.11         100
524288                390.71            373.72            477.74         100
1048576               715.88            683.28            880.36         100
2097152              2576.37           2508.16           2934.52         100
4194304             10831.70          10564.69          11750.05         100
8388608             26977.69          26515.75          29025.93         100
16777216            53816.90          52749.77          57859.48         100
33554432           103268.07         100810.75         110626.82         100
67108864           201138.79         196833.31         213949.97         100
