
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.12              0.89             11.59        1000
16                      2.25              0.86             14.87        1000
32                      2.12              0.85             12.33        1000
64                      2.08              0.86             11.55        1000
128                     2.12              0.82             12.20        1000
256                     2.17              0.86             12.47        1000
512                     2.32              0.87             13.28        1000
1024                    2.45              0.95             13.61        1000
2048                    2.88              1.09             15.73        1000
4096                   26.17             22.69             36.48        1000
8192                   27.36             23.34             37.55        1000
16384                  32.79             28.97             43.14         100
32768                  42.37             38.56             54.53         100
65536                  61.94             56.95             78.67         100
131072                 98.59             92.20            128.13         100
262144                212.92            201.64            263.13         100
524288                383.32            366.37            471.61         100
1048576               707.14            672.20            868.10         100
2097152              2594.97           2520.93           2975.82         100
4194304             10863.31          10608.51          11815.99         100
8388608             26810.35          26345.39          28857.54         100
16777216            53758.13          52842.77          57819.90         100
33554432           103375.42         100943.80         110714.98         100
67108864           200607.81         195760.89         213166.77         100
