
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.37              0.74              2.05        1000
16                      1.28              0.60              1.88        1000
32                      1.54              0.52              2.98        1000
64                      1.55              0.51              2.95        1000
128                     1.74              0.50              3.14        1000
256                     1.88              0.61              3.40        1000
512                     2.29              0.86              3.83        1000
1024                    2.56              0.97              3.88        1000
2048                    3.47              1.20              4.78        1000
4096                    5.58              1.48              7.56        1000
8192                   11.20              3.02             15.82        1000
16384                  21.38              7.69             29.88         100
32768                  42.32             23.06             57.83         100
65536                 103.14             91.76            112.70         100
131072                213.71            201.86            223.33         100
262144                439.01            426.76            448.35         100
524288               1061.14           1012.26           1123.89         100
1048576               913.50            835.35           1051.75         100
2097152              1461.37           1308.86           1693.87         100
4194304              2891.37           2626.22           3264.11         100
8388608              8974.03           8853.24           9085.83         100
16777216            17733.39          17505.04          17916.16         100
33554432            35012.26          34562.12          35369.44         100
67108864            69567.15          68756.71          70213.84         100
