
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.11              0.91             11.77        1000
16                      2.06              0.88             11.49        1000
32                      2.06              0.87             11.47        1000
64                      2.08              0.88             11.51        1000
128                     2.09              0.89             11.68        1000
256                     2.17              0.87             12.11        1000
512                     2.29              0.91             12.74        1000
1024                    2.40              0.95             13.33        1000
2048                    2.86              1.12             15.61        1000
4096                   26.19             22.91             35.85        1000
8192                   25.72             21.84             35.09        1000
16384                  32.60             29.21             42.89         100
32768                  42.55             38.31             57.45         100
65536                  61.71             56.52             78.00         100
131072                 97.68             91.53            124.79         100
262144                196.76            186.60            245.23         100
524288                388.68            370.91            474.92         100
1048576               716.30            682.23            881.94         100
2097152              2569.28           2498.93           2923.14         100
4194304             10824.72          10589.08          11772.51         100
8388608             26899.50          26496.49          28952.87         100
16777216            53381.98          52511.52          57434.87         100
33554432           103451.16         101746.03         110889.79         100
67108864           202371.76         197132.47         215072.83         100
