
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.24              0.47              6.12        1000
16                      1.23              0.48              5.83        1000
32                      1.22              0.48              5.95        1000
64                      1.23              0.48              5.97        1000
128                     1.30              0.48              6.36        1000
256                     1.52              0.66              7.02        1000
512                     1.95              0.82              9.72        1000
1024                    2.94              1.15             13.67        1000
2048                    5.26              2.41             18.32        1000
4096                   10.69              6.55             27.68        1000
8192                   27.94             17.51             57.89        1000
16384                  41.47             22.34             85.41         100
32768                 108.84             50.40            175.66         100
65536                 210.81            118.61            315.27         100
131072                467.77            370.78            597.40         100
262144               1067.04            975.63           1201.01         100
524288               2282.23           2193.21           2417.23         100
1048576              4532.28           4463.68           4656.64         100
2097152              9563.17           9463.41           9717.68         100
4194304             17965.87          17921.03          18092.29         100
8388608             35197.43          35144.73          35324.82         100
16777216            69392.99          69341.53          69525.26         100
33554432           138796.07         138746.46         138989.69         100
67108864           278150.52         278099.70         278348.74         100
