
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.16              0.39              5.76        1000
16                      1.20              0.40              5.85        1000
32                      1.20              0.43              5.94        1000
64                      1.20              0.39              5.85        1000
128                     1.29              0.42              6.41        1000
256                     1.51              0.51              7.28        1000
512                     1.89              0.58              9.60        1000
1024                    2.75              0.91             12.15        1000
2048                    5.21              2.24             17.01        1000
4096                   10.74              6.31             27.50        1000
8192                   27.92             18.12             58.02        1000
16384                  41.47             21.43             85.04         100
32768                 108.65             49.18            172.56         100
65536                 211.44            126.52            311.86         100
131072                465.52            363.19            592.28         100
262144               1061.55            955.88           1201.54         100
524288               2310.13           2195.18           2453.18         100
1048576              4530.24           4435.93           4667.46         100
2097152             10766.36          10659.20          10969.97         100
4194304             19686.41          19589.48          19860.81         100
8388608             38887.13          38794.82          39049.11         100
16777216            76936.40          76844.32          77099.85         100
33554432           154216.23         154125.33         154447.55         100
67108864           309429.74         309334.18         309669.19         100
