
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.11              0.86             11.77        1000
16                      2.03              0.88             11.30        1000
32                      2.08              0.90             11.75        1000
64                      2.09              0.87             11.55        1000
128                     2.10              0.86             11.87        1000
256                     2.14              0.85             12.12        1000
512                     2.29              0.89             12.98        1000
1024                    2.39              0.93             13.24        1000
2048                    2.85              1.07             15.68        1000
4096                   26.06             22.74             36.10        1000
8192                   26.50             23.22             36.11        1000
16384                  31.83             28.25             41.41         100
32768                  42.75             38.85             55.20         100
65536                  61.69             56.93             78.05         100
131072                 98.25             92.49            125.15         100
262144                196.66            185.35            245.01         100
524288                387.74            370.77            474.57         100
1048576               704.53            667.61            866.09         100
2097152              2594.77           2518.28           2958.30         100
4194304             10866.37          10583.04          11851.41         100
8388608             27075.49          26698.55          29126.89         100
16777216            53474.03          52480.56          57451.30         100
33554432           102910.88         100475.89         110235.33         100
67108864           200210.93         195317.02         212727.97         100
