
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.10              0.56              1.55        1000
16                      1.01              0.53              1.36        1000
32                      1.11              0.49              1.62        1000
64                      1.13              0.48              1.64        1000
128                     1.29              0.55              1.87        1000
256                     1.36              0.77              1.88        1000
512                     1.90              0.85              2.41        1000
1024                    2.50              1.00              3.21        1000
2048                    4.00              1.27              5.24        1000
4096                    6.42              1.69              8.22        1000
8192                   10.72              2.96             14.38        1000
16384                  21.16              7.72             29.63         100
32768                  41.95             22.79             58.15         100
65536                 104.67             94.44            113.88         100
131072                216.36            205.70            225.08         100
262144                442.04            430.57            451.76         100
524288               1068.95           1014.10           1113.01         100
1048576               923.48            839.37           1064.47         100
2097152              1477.32           1344.39           1690.36         100
4194304              2892.47           2619.36           3262.72         100
8388608              9012.21           8889.42           9146.90         100
16777216            17763.62          17562.27          17980.42         100
33554432            35346.24          34913.14          35724.70         100
67108864            69892.40          69108.23          70619.95         100
