
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.00              0.57              1.56        1000
16                      0.99              0.56              1.31        1000
32                      1.00              0.53              1.33        1000
64                      1.00              0.55              1.32        1000
128                     1.09              0.53              1.38        1000
256                     1.16              0.62              1.51        1000
512                     1.40              0.71              1.99        1000
1024                    2.12              0.97              2.59        1000
2048                    3.50              1.19              4.33        1000
4096                    6.48              1.54              8.97        1000
8192                   10.36              2.93             14.66        1000
16384                  20.32              8.23             28.52         100
32768                  40.66             23.14             55.56         100
65536                 102.11             92.86            110.31         100
131072                209.85            199.58            218.75         100
262144                429.58            418.47            439.24         100
524288               1056.31           1012.02           1099.14         100
1048576               920.94            837.75           1058.32         100
2097152              1436.91           1278.71           1667.14         100
4194304              2902.54           2638.07           3267.70         100
8388608              8999.26           8849.70           9165.14         100
16777216            17742.61          17515.85          17993.06         100
33554432            35122.71          34604.38          35537.23         100
67108864            69626.66          68845.86          70294.36         100
