
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       5.63              2.45              9.66        1000
16                      4.97              2.21              8.39        1000
32                      5.00              2.20              8.41        1000
64                      4.93              2.10              8.17        1000
128                     5.00              2.16              8.49        1000
256                     5.01              2.03              8.49        1000
512                     5.25              2.36              9.10        1000
1024                    5.60              2.24              9.58        1000
2048                    6.24              2.37             11.32        1000
4096                    7.36              2.08             13.39        1000
8192                    9.34              2.25             16.51        1000
16384                  50.24             43.92             54.99         100
32768                  84.95             75.79             91.53         100
65536                 164.45            146.27            176.63         100
131072                313.79            267.71            337.67         100
262144                638.22            553.40            675.24         100
524288                596.52            560.81            647.18         100
1048576               942.53            889.24           1013.96         100
2097152              1644.82           1553.32           1754.58         100
4194304              4264.24           3961.94           4487.31         100
8388608             11673.79          11047.47          12071.70         100
16777216            23440.66          21900.41          24913.41         100
33554432            44163.01          42402.15          45045.69         100
67108864            86093.28          82302.83          88791.09         100
