
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.14              0.44              5.23        1000
16                      1.21              0.46              5.66        1000
32                      1.29              0.46              6.06        1000
64                      1.24              0.47              5.91        1000
128                     1.32              0.48              6.41        1000
256                     1.55              0.63              6.93        1000
512                     1.99              0.88              9.48        1000
1024                    2.94              1.27             12.98        1000
2048                    5.38              2.36             17.44        1000
4096                   10.87              6.80             27.40        1000
8192                   27.90             17.92             57.26        1000
16384                  41.68             22.22             84.30         100
32768                 108.21             50.05            171.60         100
65536                 211.45            115.20            311.76         100
131072                470.22            370.56            596.47         100
262144               1075.21            975.70           1212.76         100
524288               2319.30           2207.22           2459.61         100
1048576              4635.68           4544.42           4770.57         100
2097152              9643.73           9564.85           9796.54         100
4194304             19981.63          19884.22          20162.32         100
8388608             38804.25          38712.78          38967.79         100
16777216            76569.92          76480.98          76729.85         100
33554432           153843.36         153754.62         154080.77         100
67108864           308733.46         308641.30         308978.61         100
