
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.17              0.47              5.66        1000
16                      1.19              0.47              5.65        1000
32                      1.21              0.47              5.84        1000
64                      1.21              0.47              5.82        1000
128                     1.29              0.48              6.33        1000
256                     1.53              0.67              7.15        1000
512                     1.99              0.78              9.70        1000
1024                    2.99              1.25             13.60        1000
2048                    5.25              2.52             17.76        1000
4096                   10.80              6.58             27.91        1000
8192                   27.92             17.74             59.19        1000
16384                  41.69             22.03             87.00         100
32768                 108.38             50.51            176.25         100
65536                 211.06            113.69            315.67         100
131072                471.23            375.38            598.65         100
262144               1070.07            985.19           1199.53         100
524288               2348.09           2269.69           2475.36         100
1048576              4506.00           4461.32           4627.27         100
2097152              8864.87           8802.37           8988.65         100
4194304             18046.76          18000.05          18178.61         100
8388608             35545.17          35490.62          35678.52         100
16777216            71035.36          70975.44          71175.73         100
33554432           141912.49         141855.38         142132.50         100
67108864           284532.53         284477.63         284757.24         100
