
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       5.53              2.44              9.37        1000
16                      5.52              2.32              9.54        1000
32                      4.85              2.01              7.97        1000
64                      4.96              2.18              8.38        1000
128                     4.87              2.00              8.03        1000
256                     5.03              2.25              8.63        1000
512                     4.99              2.02              8.44        1000
1024                    5.60              2.25             10.05        1000
2048                    6.05              1.96             10.83        1000
4096                    7.44              2.18             13.12        1000
8192                    9.24              2.00             16.39        1000
16384                  51.14             44.04             55.52         100
32768                  86.31             75.73             92.39         100
65536                 171.25            158.06            181.49         100
131072                323.44            284.49            342.42         100
262144                636.79            581.58            671.13         100
524288                600.88            563.68            657.34         100
1048576               946.03            892.29           1018.14         100
2097152              1650.44           1560.53           1758.67         100
4194304              4280.68           3981.11           4470.46         100
8388608             11703.99          11021.97          12112.63         100
16777216            23464.71          21918.00          24867.92         100
33554432            44042.90          42449.20          44827.10         100
67108864            86062.47          81633.32          89170.23         100
