
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.96              0.55              1.25        1000
16                      1.06              0.55              1.44        1000
32                      1.06              0.60              1.57        1000
64                      1.05              0.51              1.41        1000
128                     1.19              0.53              1.73        1000
256                     1.15              0.57              1.54        1000
512                     1.45              0.68              2.07        1000
1024                    2.12              1.04              2.64        1000
2048                    3.58              1.32              4.45        1000
4096                    6.47              1.56              8.60        1000
8192                   10.70              2.86             14.38        1000
16384                  20.73              8.30             29.09         100
32768                  40.97             23.13             56.32         100
65536                 102.84             92.69            111.23         100
131072                211.66            201.23            220.83         100
262144                431.35            419.34            441.54         100
524288               1072.62           1022.59           1124.15         100
1048576               919.89            830.84           1057.46         100
2097152              1454.44           1321.72           1673.17         100
4194304              2915.61           2651.13           3278.74         100
8388608              9011.86           8877.83           9147.31         100
16777216            17747.12          17488.33          17944.42         100
33554432            35245.57          34769.89          35625.66         100
67108864            69664.08          68814.63          70309.32         100
