
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       5.59              2.45              9.61        1000
16                      4.82              2.06              7.72        1000
32                      4.94              2.23              8.35        1000
64                      4.75              1.90              7.73        1000
128                     4.98              2.23              8.50        1000
256                     4.80              2.03              7.88        1000
512                     5.12              2.26              9.14        1000
1024                    5.52              2.05              9.52        1000
2048                    6.11              2.28             10.94        1000
4096                    6.97              1.89             11.66        1000
8192                    9.40              2.21             16.62        1000
16384                  51.14             43.81             55.76         100
32768                  88.09             76.92             94.22         100
65536                 166.74            153.11            177.10         100
131072                316.37            279.82            336.34         100
262144                630.31            550.11            666.86         100
524288                599.10            562.06            653.68         100
1048576               949.28            890.82           1028.29         100
2097152              1651.53           1560.23           1762.00         100
4194304              4175.27           3911.56           4371.47         100
8388608             11717.84          11088.76          12109.09         100
16777216            23414.41          21910.99          24758.99         100
33554432            44036.78          42345.13          44865.78         100
67108864            86192.36          82174.23          88969.48         100
